thread 0. word #116. length: 2, partial: 0
thread 0. word #117. length: 1, partial: 0
thread 0. word #118. length: 1, partial: 0
thread 0. word #119. length: 1, partial: 0
thread 0. word #120. length: 1, partial: 0
thread 0. word #121. length: 1, partial: 0
thread 0. word #122. length: 1, partial: 0
thread 0. word #123. length: 1, partial: 0
thread 0. word #124. length: 1, partial: 0
thread 0. word #125. length: 2, partial: 0
thread 0. word #126. length: 2, partial: 0
thread 0. word #127. length: 1, partial: 0
thread 0. word #128. length: 2, partial: 0
thread 0. word #129. length: 1, partial: 0
thread 0. word #130. length: 2, partial: 0
